Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
07-Sep-2018,EQ,269.55,279.90,269.25,269.95,277.05,277.40,276.39,468.00,243.1,"2,61,89,156","7,23,83,38,281.25","1,89,486"
10-Sep-2018,EQ,276.00,282.00,271.75,277.40,274.40,275.70,277.42,468.00,243.1,"2,13,22,969","5,91,53,44,895.40","1,56,900"
11-Sep-2018,EQ,277.25,278.85,265.70,275.70,266.75,267.30,272.84,468.00,243.1,"1,34,44,031","3,66,81,14,438.20","99,917"
12-Sep-2018,EQ,268.20,268.20,258.85,267.30,261.75,262.40,262.05,468.00,243.1,"1,44,56,273","3,78,82,95,435.45","1,10,943"
14-Sep-2018,EQ,265.00,269.60,263.40,262.40,266.10,266.60,266.66,468.00,243.1,"1,07,10,620","2,85,60,89,710.65","78,605"
17-Sep-2018,EQ,263.35,264.10,259.65,266.60,259.85,260.25,262.12,468.00,243.1,"94,61,420","2,48,00,74,282.95","98,336"
18-Sep-2018,EQ,257.75,259.80,250.60,260.25,251.25,251.50,255.40,468.00,243.1,"1,15,54,420","2,95,10,44,778.45","1,03,016"
19-Sep-2018,EQ,253.55,255.00,251.00,251.50,252.75,252.60,253.10,468.00,243.1,"78,45,650","1,98,57,67,806.60","76,689"
21-Sep-2018,EQ,255.05,257.70,228.85,252.60,250.20,250.35,249.89,468.00,228.85,"1,85,47,453","4,63,48,99,783.95","1,29,476"
24-Sep-2018,EQ,250.20,251.00,239.35,250.35,241.20,240.20,244.40,468.00,228.85,"88,89,259","2,17,25,73,032.25","80,075"
25-Sep-2018,EQ,241.00,243.50,235.45,240.20,241.10,240.80,239.95,468.00,228.85,"90,30,367","2,16,68,39,776.70","79,738"
26-Sep-2018,EQ,242.30,243.20,229.55,240.80,233.35,233.35,233.88,468.00,228.85,"1,78,10,869","4,16,56,11,347.75","1,45,381"
27-Sep-2018,EQ,234.80,236.55,223.10,233.35,226.85,225.25,228.36,468.00,223.1,"1,74,30,781","3,98,05,46,037.10","1,24,772"
28-Sep-2018,EQ,227.90,230.70,219.50,225.25,224.00,223.70,225.65,468.00,219.5,"1,41,96,824","3,20,34,91,074.10","1,24,193"
01-Oct-2018,EQ,225.00,230.45,220.00,223.70,229.70,229.35,225.40,468.00,219.5,"97,43,094","2,19,60,97,865.10","75,151"
03-Oct-2018,EQ,230.00,232.80,225.80,229.35,227.30,227.60,229.17,468.00,219.5,"90,94,685","2,08,42,03,952.80","79,793"
04-Oct-2018,EQ,224.00,230.80,221.75,227.60,223.05,223.25,225.61,468.00,219.5,"1,38,98,979","3,13,57,47,885.60","94,369"
05-Oct-2018,EQ,222.75,226.45,214.75,223.25,215.70,216.25,220.81,468.00,214.75,"1,04,71,026","2,31,21,41,999.30","1,09,560"
08-Oct-2018,EQ,217.80,218.50,208.10,216.25,213.00,212.35,213.94,468.00,208.1,"1,18,54,170","2,53,61,34,500.85","1,17,087"
09-Oct-2018,EQ,205.70,206.00,170.30,212.35,184.55,184.35,184.41,468.00,170.3,"14,27,60,251","26,32,61,69,685.15","8,91,690"
10-Oct-2018,EQ,186.00,190.95,185.05,184.35,189.25,188.75,187.99,468.00,170.3,"3,56,70,907","6,70,56,14,097.45","2,36,722"
11-Oct-2018,EQ,180.65,187.75,178.00,188.75,182.50,182.95,184.57,468.00,170.3,"1,93,23,517","3,56,65,97,372.35","1,57,125"
12-Oct-2018,EQ,185.95,188.40,182.60,182.95,183.90,183.75,185.15,468.00,170.3,"1,80,14,894","3,33,53,70,340.80","1,34,325"
15-Oct-2018,EQ,186.50,186.50,182.70,183.75,184.40,184.35,184.31,468.00,170.3,"1,16,58,409","2,14,87,32,399.80","76,113"
16-Oct-2018,EQ,185.20,187.25,184.55,184.35,185.75,185.85,186.03,468.00,170.3,"96,95,745","1,80,36,84,697.35","71,969"
17-Oct-2018,EQ,187.60,187.80,179.10,185.85,180.00,179.95,183.08,468.00,170.3,"1,20,04,524","2,19,78,14,676.25","92,322"
19-Oct-2018,EQ,178.95,179.75,174.00,179.95,174.70,174.70,176.27,468.00,170.3,"1,04,69,358","1,84,54,37,771.55","94,673"
22-Oct-2018,EQ,176.40,176.85,170.05,174.70,170.95,170.75,172.31,468.00,170.05,"1,17,21,075","2,01,96,65,260.80","93,212"
23-Oct-2018,EQ,170.00,175.70,169.55,170.75,171.30,170.65,172.77,468.00,169.55,"1,55,88,511","2,69,32,77,112.55","1,06,565"
24-Oct-2018,EQ,173.90,175.00,169.00,170.65,170.40,170.65,171.03,468.00,169.0,"1,54,21,903","2,63,76,20,601.90","1,13,578"
